time,lat,lon,tempanomaly
1880-01-15,51.0,21.0,-1.5699999
1880-02-15,51.0,21.0,-0.97999996
1880-03-15,51.0,21.0,-0.28
1880-04-15,51.0,21.0,1.4599999
1880-05-15,51.0,21.0,-0.98999995
1880-06-15,51.0,21.0,0.53999996
1880-07-15,51.0,21.0,1.78
1880-08-15,51.0,21.0,-0.14
1880-09-15,51.0,21.0,0.63
1880-10-15,51.0,21.0,-1.63
1880-11-15,51.0,21.0,-0.32999998
1880-12-15,51.0,21.0,1.56
1881-01-15,51.0,21.0,-3.9099998
1881-02-15,51.0,21.0,0.13
1881-03-15,51.0,21.0,-1.41
1881-04-15,51.0,21.0,-3.27
1881-05-15,51.0,21.0,0.22999999
1881-06-15,51.0,21.0,-0.28
1881-07-15,51.0,21.0,0.81
1881-08-15,51.0,21.0,-0.07
1881-09-15,51.0,21.0,-1.3
1881-10-15,51.0,21.0,-3.59
1881-11-15,51.0,21.0,-1.4699999
1881-12-15,51.0,21.0,-0.39999998
1882-01-15,51.0,21.0,3.57
1882-02-15,51.0,21.0,2.34
1882-03-15,51.0,21.0,4.0899997
1882-04-15,51.0,21.0,0.56
1882-05-15,51.0,21.0,0.21
1882-06-15,51.0,21.0,-1.27
1882-07-15,51.0,21.0,1.76
1882-08-15,51.0,21.0,-1.02
1882-09-15,51.0,21.0,1.61
1882-10-15,51.0,21.0,-1.0699999
1882-11-15,51.0,21.0,-1.27
1882-12-15,51.0,21.0,0.35
1883-01-15,51.0,21.0,0.02
1883-02-15,51.0,21.0,1.31
1883-03-15,51.0,21.0,-4.92
1883-04-15,51.0,21.0,-2.7
1883-05-15,51.0,21.0,-0.45999998
1883-06-15,51.0,21.0,1.09
1883-07-15,51.0,21.0,0.44
1883-08-15,51.0,21.0,-0.85999995
1883-09-15,51.0,21.0,0.16
1883-10-15,51.0,21.0,-0.34
1883-11-15,51.0,21.0,-0.61
1883-12-15,51.0,21.0,-0.79999995
1884-01-15,51.0,21.0,2.75
1884-02-15,51.0,21.0,3.72
1884-03-15,51.0,21.0,0.64
1884-04-15,51.0,21.0,-2.46
1884-05-15,51.0,21.0,-0.08
1884-06-15,51.0,21.0,0.16
1884-07-15,51.0,21.0,0.90999997
1884-08-15,51.0,21.0,-1.14
1884-09-15,51.0,21.0,0.71
1884-10-15,51.0,21.0,-1.74
1884-11-15,51.0,21.0,-3.3799999
1884-12-15,51.0,21.0,2.1699998
1885-01-15,51.0,21.0,-0.9
1885-02-15,51.0,21.0,2.9299998
1885-03-15,51.0,21.0,0.74
1885-04-15,51.0,21.0,1.31
1885-05-15,51.0,21.0,-1.3
1885-06-15,51.0,21.0,1.73
1885-07-15,51.0,21.0,0.84
1885-08-15,51.0,21.0,-2.47
1885-09-15,51.0,21.0,-0.049999997
1885-10-15,51.0,21.0,-0.12
1885-11-15,51.0,21.0,-1.88
1885-12-15,51.0,21.0,-1.9599999
1886-01-15,51.0,21.0,1.3299999
1886-02-15,51.0,21.0,-3.1599998
1886-03-15,51.0,21.0,-4.88
1886-04-15,51.0,21.0,1.12
1886-05-15,51.0,21.0,0.53
1886-06-15,51.0,21.0,-0.62
1886-07-15,51.0,21.0,-0.82
1886-08-15,51.0,21.0,0.38
1886-09-15,51.0,21.0,1.09
1886-10-15,51.0,21.0,-0.76
1886-11-15,51.0,21.0,0.65
1886-12-15,51.0,21.0,1.73
1887-01-15,51.0,21.0,-0.57
1887-02-15,51.0,21.0,-1.48
1887-03-15,51.0,21.0,-1.6899999
1887-04-15,51.0,21.0,-0.78
1887-05-15,51.0,21.0,-0.59
1887-06-15,51.0,21.0,-1.9399999
1887-07-15,51.0,21.0,1.27
1887-08-15,51.0,21.0,-1.36
1887-09-15,51.0,21.0,0.7
1887-10-15,51.0,21.0,-2.78
1887-11-15,51.0,21.0,0.14
1887-12-15,51.0,21.0,-1.36
1888-01-15,51.0,21.0,-3.28
1888-02-15,51.0,21.0,-2.47
1888-03-15,51.0,21.0,-2.25
1888-04-15,51.0,21.0,-1.68
1888-05-15,51.0,21.0,0.07
1888-06-15,51.0,21.0,-0.08
1888-07-15,51.0,21.0,-1.5799999
1888-08-15,51.0,21.0,-0.68
1888-09-15,51.0,21.0,-0.31
